video_id,video_title,video_views,video_likes,video_comment,video_duration,video_published_date
7k9Rt0sRCDQ,CHENNAI ❤️ | Vj Siddhu Vlogs | #shorts,987356,113033,384,PT38S,2023-07-20T09:30:02Z
ji2qL2k18P4,1100 வாடகை தர முடியாம இருந்தேன் 🥺 - My Bachelor Room Tour | Vj Siddhu Vlogs | Vj Siddhu Vlogs,974179,52507,508,PT18M52S,2023-07-19T14:00:36Z
3TYJLzh47zE,என்னது ஜட்டி போட்டு Office-ல சுத்தணுமா ? 😱🤣💥| Vj Siddhu Vlogs,474320,20382,83,PT15M23S,2023-07-17T11:00:10Z
nMMPnXQpTB4,வெச்சு செய்ய போறோம்😂 - மரண Fun JACKPOT With Blacksheep🎉 | Vj Siddhu Vlogs,683344,28329,158,PT19M45S,2023-07-14T10:30:24Z
TrIvXer5EpY,மொத்த கதையையும் இப்டி ஒடைச்சுட்டிங்களே டா 😱🤯 |  Vj Siddhu Vlogs,778425,33472,157,PT13M21S,2023-07-12T13:30:08Z
mTj7xYaG4k4,Tasmac-ல Movie Discussion😂 | Food Review With Blacksheep TEAM 💥😋 | Vj Siddhu Vlogs,1199751,47385,444,PT24M5S,2023-07-10T14:00:11Z
5PN73jENxzA,மாடி-ல இருந்து பாராச்சூட்-ல பறந்தோம் 😱 | Vj Siddhu Vlogs,360543,17457,222,PT12M56S,2023-07-07T12:30:08Z
SPyVuauAYrU,நாம் மறந்த 90s Kids விளையாட்டு பொருட்கள் 😍 | Old Memories With Iniyazh 🎉| Vj Siddhu Vlogs,516827,24662,0,PT18M24S,2023-07-05T09:45:08Z
2dXX3BmcMAw,Low Budget-ல தரமான Street food 🤩 | Vj Siddhu Vlogs,548663,25702,267,PT13M30S,2023-07-03T09:45:09Z
qD1e60R-mJI,Vijay Antony Sir வீட்டுக்கு Food Delivery 😍| Vj Siddhu Vlogs | #shorts,4820783,455265,274,PT44S,2023-07-01T05:30:11Z
UKbg8CEEmmA,Vijay Antony Sir வீட்டுல நடந்த சம்பவம் 💔| Delivery Boy Emotional | Vj Siddhu Vlogs,482757,23705,293,PT10M1S,2023-06-30T09:45:07Z
tQ4l4GH1zAc,இதெல்லாம் order பண்ணுவாங்களா 😲 | Day With Delivery Boy  | Vj Siddhu Vlogs | #shorts,1725782,141656,171,PT54S,2023-06-29T07:30:14Z
AJ4J6soRGQg,Swiggy-ல இருந்தா இவ்ளோ சம்பளமா 🤑  | One Day Delivery Partner | Vj Siddhu,858529,32986,384,PT21M32S,2023-06-28T11:30:11Z
FBZFmBcm-lw,குடிமகன்கள் Health- ம் முக்கியம் தான்😍🎉 |  Jil Jil Bar Food Review💥 | Vj Siddhu,588861,28751,410,PT15M1S,2023-06-26T10:30:10Z
7f8GkhCakxs,Tasmac-ல இவ்ளோ Variety Side Dish-ஆ 😋💥என்னா Tasteu🎉| Vj Siddhu,505295,22323,309,PT10M24S,2023-06-23T09:40:08Z
N6hC1j2p8HI,இது சாதாரண நாய் இல்ல Circus நாய் 😂 | A Day With Chottu Dog | Part 2 | Vj Siddhu,1129754,52849,466,PT12M26S,2023-06-20T10:30:08Z
O_eCMDtruLI,என்னா ஒரு புத்திசாலித்தனம்🤣😂 | Vj Siddhu Vlogs #shorts,1336016,89455,48,PT22S,2023-06-19T05:34:12Z
2KtPwmjqtBk,எப்படி வந்து சிக்கி இருக்கேன் பாத்தியா 😒  | Vj Siddhu Vlogs,2426367,71016,643,PT16M19S,2023-06-18T10:00:14Z
OkuCdKIYzX0,நான் வந்துட்டேன் சொல்லு திரும்ப வந்துட்டேனு சொல்லு..! | New Channel | Vj Siddhu Vlogs,298941,26683,190,PT1M5S,2023-06-17T11:02:30Z
